iteration=340,error=5.749819,theta1=-0.156626,theta2=0.817395
iteration=341,error=5.749360,theta1=-0.157300,theta2=0.817463
iteration=342,error=5.748901,theta1=-0.157974,theta2=0.817530
iteration=343,error=5.748443,theta1=-0.158647,theta2=0.817598
iteration=344,error=5.747985,theta1=-0.159321,theta2=0.817666
iteration=345,error=5.747526,theta1=-0.159995,theta2=0.817733
iteration=346,error=5.747068,theta1=-0.160668,theta2=0.817801
iteration=347,error=5.746611,theta1=-0.161341,theta2=0.817869
iteration=348,error=5.746153,theta1=-0.162015,theta2=0.817936
iteration=349,error=5.745695,theta1=-0.162688,theta2=0.818004
iteration=350,error=5.745238,theta1=-0.163360,theta2=0.818072
iteration=351,error=5.744781,theta1=-0.164033,theta2=0.818139
iteration=352,error=5.744324,theta1=-0.164706,theta2=0.818207
iteration=353,error=5.743867,theta1=-0.165379,theta2=0.818274
iteration=354,error=5.743410,theta1=-0.166051,theta2=0.818342
iteration=355,error=5.742954,theta1=-0.166723,theta2=0.818409
iteration=356,error=5.742497,theta1=-0.167396,theta2=0.818477
iteration=357,error=5.742041,theta1=-0.168068,theta2=0.818544
iteration=358,error=5.741585,theta1=-0.168740,theta2=0.818612
iteration=359,error=5.741129,theta1=-0.169411,theta2=0.818679
iteration=360,error=5.740673,theta1=-0.170083,theta2=0.818747
iteration=361,error=5.740218,theta1=-0.170755,theta2=0.818814
iteration=362,error=5.739763,theta1=-0.171426,theta2=0.818882
iteration=363,error=5.739307,theta1=-0.172097,theta2=0.818949
iteration=364,error=5.738852,theta1=-0.172769,theta2=0.819017
iteration=365,error=5.738397,theta1=-0.173440,theta2=0.819084
iteration=366,error=5.737943,theta1=-0.174111,theta2=0.819152
iteration=367,error=5.737488,theta1=-0.174782,theta2=0.819219
iteration=368,error=5.737034,theta1=-0.175452,theta2=0.819286
iteration=369,error=5.736579,theta1=-0.176123,theta2=0.819354
iteration=370,error=5.736125,theta1=-0.176794,theta2=0.819421
iteration=371,error=5.735671,theta1=-0.177464,theta2=0.819488
iteration=372,error=5.735218,theta1=-0.178134,theta2=0.819556
iteration=373,error=5.734764,theta1=-0.178804,theta2=0.819623
iteration=374,error=5.734311,theta1=-0.179474,theta2=0.819690
iteration=375,error=5.733857,theta1=-0.180144,theta2=0.819758
iteration=376,error=5.733404,theta1=-0.180814,theta2=0.819825
iteration=377,error=5.732951,theta1=-0.181484,theta2=0.819892
iteration=378,error=5.732499,theta1=-0.182153,theta2=0.819959
iteration=379,error=5.732046,theta1=-0.182823,theta2=0.820027
iteration=380,error=5.731594,theta1=-0.183492,theta2=0.820094
iteration=381,error=5.731141,theta1=-0.184161,theta2=0.820161
iteration=382,error=5.730689,theta1=-0.184830,theta2=0.820228
iteration=383,error=5.730237,theta1=-0.185499,theta2=0.820296
iteration=384,error=5.729786,theta1=-0.186168,theta2=0.820363
iteration=385,error=5.729334,theta1=-0.186837,theta2=0.820430
iteration=386,error=5.728882,theta1=-0.187505,theta2=0.820497
iteration=387,error=5.728431,theta1=-0.188174,theta2=0.820564
iteration=388,error=5.727980,theta1=-0.188842,theta2=0.820631
iteration=389,error=5.727529,theta1=-0.189510,theta2=0.820699
iteration=390,error=5.727078,theta1=-0.190178,theta2=0.820766
iteration=391,error=5.726628,theta1=-0.190846,theta2=0.820833
iteration=392,error=5.726177,theta1=-0.191514,theta2=0.820900
iteration=393,error=5.725727,theta1=-0.192182,theta2=0.820967
iteration=394,error=5.725277,theta1=-0.192849,theta2=0.821034
iteration=395,error=5.724827,theta1=-0.193517,theta2=0.821101
iteration=396,error=5.724377,theta1=-0.194184,theta2=0.821168
iteration=397,error=5.723927,theta1=-0.194852,theta2=0.821235
iteration=398,error=5.723478,theta1=-0.195519,theta2=0.821302
iteration=399,error=5.723028,theta1=-0.196186,theta2=0.821369
iteration=400,error=5.722579,theta1=-0.196853,theta2=0.821436
iteration=401,error=5.722130,theta1=-0.197519,theta2=0.821503
iteration=402,error=5.721681,theta1=-0.198186,theta2=0.821570
